customer_id,customer_first_name,customer_last_name,product_name,category_name,customer_segment,customer_city,customer_state,customer_country,customer_region,delivery_status,order_id,shipping_type,days_for_shipment_scheduled,days_for_shipment_real,order_item_discount,sales_per_order,order_quantity,profit_per_order,order_update,ship_update
C_ID_45866,Mary,Fuller,"Xerox 1913","Office Supplies",Corporate,"New Rochelle","New York","United States",East,"Shipping on time",O_ID_3001072,"Second Class",2,2,35,500,5,223.2,2020-05-11,1983-05-12
C_ID_44932,Alan,Edelman,"#6 3/4 Gummed Flap White Envelopes","Office Supplies",Corporate,Houston,Texas,"United States",Central,"Shipping canceled",O_ID_3009170,"Second Class",2,3,85,500,5,199.2,2020-06-20,2020-06-23
C_ID_70880,Mary,Gayman,"Belkin 8 Outlet Surge Protector","Office Supplies",Consumer,Louisville,Kentucky,"United States",South,"Late delivery",O_ID_3047567,"Standard Class",4,5,75,44,5,195.5,2020-06-25,2020-06-30
C_ID_33157,Raymond,Eason,"GBC VeloBinder Manual Binding System","Office Supplies",Corporate,Chicago,Illinois,"United States",Central,"Late delivery",O_ID_3060575,"Second Class",2,4,60,254,1,220,2020-06-10,2020-10-10
C_ID_58303,Mary,Gonzalez,"Eldon Pizzaz Desk Accessories",Furniture,"Home Office",Philadelphia,Pennsylvania,"United States",East,"Late delivery",O_ID_3064311,"First Class",1,2,125,500,1,97.5,2020-05-02,2020-01-08
C_ID_34556,Joe,Leatherbury,"Hoover Shoulder Vac Commercial Portable Vacuum","Office Supplies","Home Office",Columbia,"South Carolina","United States",South,"Shipping on time",O_ID_3074984,"Standard Class",4,4,80,500,2,-349.86,2020-06-24,2020-06-28
C_ID_56882,Mary,Etezadi,"Rogers Handheld Barrel Pencil Sharpener","Office Supplies","Home Office",Henderson,Kentucky,"United States",South,"Advance shipping",O_ID_3000007,"Standard Class",4,3,45,300,5,71.4,2020-10-07,2020-04-16
C_ID_51638,Andrea,O'Briant,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush","Office Supplies",Corporate,Athens,Georgia,"United States",South,"Shipping on time",O_ID_3000008,"Standard Class",4,4,45,300,5,-31.87,2020-01-26,2020-01-30
C_ID_60578,Mary,Etezadi,"Ibico Hi-Tech Manual Binding System","Office Supplies","Home Office",Henderson,Kentucky,"United States",South,"Shipping on time",O_ID_3000009,"Standard Class",4,4,48,300,5,118.43,2020-03-09,2020-07-09
C_ID_55200,Mary,Etezadi,"Alliance Super-Size Bands, Assorted Sizes","Office Supplies","Home Office",Henderson,Kentucky,"United States",South,"Late delivery",O_ID_3000010,"Standard Class",4,6,48,300,5,78.87,2020-03-19,2020-03-25
